ADDRESS1,ZIPCODE2,CITY,STATE,LATITUDE,LONGITUDE,STOREID,PREFIX,duplicate,check
1530 Albion Rd ,M9V1B4,Etobicoke,ON,49.0226,-122.266,28774,1530 Albio,1,1
1531 Notre Dame Rue Ouest,H3C1L2,Montreal,QC,45.4905,-73.567,22034,1531 Notre,0,0
1535 boul. Walburg,G8L1H5,Dolbeau-Mistassini,QC,48.8796,-72.2303,21609,1535 boul.,0,0
1535 HWY 7A Building A,L9L1B5,Port Perry,ON,44.0946,-78.964,21429,1535 HWY 7,0,0
15355 24TH AVE.,V4A2H9,South Surrey,BC,49.0454,-122.798,13732,15355 24TH,0,0
1540 Regent Avenue,R2C3B4,Winnipeg,MB,49.8963,-97.06,26317,1540 Regen,0,0
1541 Merivale Road,K2G5W1,Nepean,ON,45.3556,-75.7352,23282,1541 Meriv,0,0
15423 Yonge St.,L4G1P1,Aurora,ON,44.004,-79.4682,608041250483466,15423 Yong,0,0
1544 Columbia Drive,A0E2M0,Marystown,NL,47.1646,-55.1591,23388,1544 Colum,0,0
"1545 Regent Street,Unit #3",P3E3Z7,Sudbury,ON,46.4557,-81.0052,608041250483533,1545 Regen,0,0
15483 Yonge Street,L4G1P3,Aurora,ON,44.0068,-79.466,608041250483432,15483 Yong,0,0
1549 Dundas St E,L1N5R4,Whitby,ON,43.6667,-79.3306,24589,1549 Dunda,0,1
1549 Dundas St E,L1N5R4,Whitby,ON,43.667,-79.3306,22328,1549 Dunda,1,1
155 Main St,V0K1V0,Lillooet,BC,50.7037,-121.926,21564,155 Main S,0,0
155 Malcolm Drive,V2J3K2,Quesnel,BC,52.9732,-122.505,20991,155 Malcol,0,0
155 Montee Masson,J7K3B4,Mascouche,QC,50.6792,-114.239,21351,155 Montee,0,0
1550 Cameron St,K6A3S5,Hawkesbury,ON,45.5932,-74.6027,21225,1550 Camer,0,0
1550 Kingston Road,L1V1C3,Pickering,ON,43.8441,-79.0801,608041250481911,1550 Kings,0,0
1550 Upper James Street,L9B2L6,Hamilton,ON,43.2042,-79.8924,608041250482946,1550 Upper,0,1
"1550 Upper James Street, Hamilton",L9B2L6,Hamilton,ON,43.2042,-79.8924,608041250482654,1550 Upper,1,1
1555 18TH AVE E,N4K6Y3,Owen Sound,ON,56.1304,-106.347,21290,1555 18TH ,0,0
1555 BANKS RD,V1X7Y8,Kelowna,BC,49.8888,-119.425,21271,1555 BANKS,0,0
1555 Regent Ave West,R2C4C7,Winnipeg,MB,49.8983,-97.0601,24810,1555 Regen,0,1
1555 Regent Ave West,R2C4J2,Winnipeg,MB,49.8983,-97.0601,23200,1555 Regen,1,1
1555 Regent Avenue W,R2C4J2,Winnipeg,MB,49.8985,-97.06,608041250481884,1555 Regen,1,1
1555 Regent Avenue West,R2C4J2,Winnipeg,MB,47.6183,-52.7139,20290,1555 Regen,1,1
1555 Regent Avenue West,R2C4J2,Winnipeg,MB,49.8972,-97.0643,22441,1555 Regen,1,1
1555 Regent Avenue West,R2C4J2,Winnipeg,MB,49.8984,-97.061,23921,1555 Regen,1,1
1555 Regent Avenue West,R2C4J2,Winnipeg,MB,49.8985,-97.06,20901,1555 Regen,1,1
1555 Regent Avenue West,R2C4J2,Winnipeg,MB,49.8986,-97.062,17499,1555 Regen,1,1
1555 Regent Avenue West,R2C4J2,Winnipeg,MB,49.8986,-97.062,20286,1555 Regen,1,1
15554 - 37 ST,T5Y0S5,Edmonton,AB,53.617,-113.398,608041250482822,15554 - 37,0,0
156 Bank Street,K1P5N7,Ottawa,ON,45.4193,-75.6997,605251118011631,156 Bank S,0,0
156 Main Street,A0J1T0,Springdale,NL,49.2835,-123.1,23842,156 Main S,0,0
"156, 1re Rue",E8S1T1,Shippagan,NB,48.6773,-71.677,608041250483128,"156, 1re R",0,0
1560  Dundas St E,L4X1L4,Etobicoke,ON,43.612,-79.5783,605251118011649,1560  Dund,0,0
1560 Boulevard Le Corbusier,H7S1Y8,Laval,QC,45.5628,-73.7299,28007,1560 Boule,0,1
1560 boulevard Monseigneur Langlois,J6S1E3,Valleyfield,QC,45.2714,-74.1294,26374,1560 boule,1,1
1560 LE CORBUSIER BOULEVARD,H7S1Y8,Laval,QC,45.5611,-73.7327,12640,1560 LE CO,0,0
1567 Des Promenades,J3Y5K2,St-Hubert,QC,45.474,-73.3674,17582,1567 Des P,0,0
1568 Merivale Road,K2G3J9,Nepean,ON,45.3517,-75.7348,21990,1568 Meriv,0,0
157 Harwood Ave,L1Z0A1,Ajax,ON,43.8635,-79.023,608041250482179,157 Harwoo,0,0
1570 - 18 Street,R7A5C5,Brandon,MB,46.1325,-70.6996,20864,1570 - 18 ,0,1
1570 - 18 Street,R7A5C5,Brandon,MB,49.8252,-99.9642,17519,1570 - 18 ,1,1
1570 - 18th Street,R7A5C5,Brandon,MB,45.5341,-73.655,20289,1570 - 18t,0,1
1570 - 18th Street,R7A5C5,Brandon,MB,49.825,-99.9637,23919,1570 - 18t,1,1
1570 - 18th Street,R7A5C5,Brandon,MB,49.825,-99.9637,606211730371515,1570 - 18t,1,1
1570 - 18th Street,R7A5C5,Brandon,MB,49.825,-99.9634,22442,1570 - 18t,1,1
1570 18th Street,R7A5C5,Brandon,MB,49.825,-99.9637,23204,1570 18th ,0,0
1570 Dundas St. East,L4X1L4,Mississauga,ON,45.6546,-73.513,26410,1570 Dunda,0,1
1570 Dundas St. East,L4X1L4,Etobicoke,ON,43.6671,-79.33,28591,1570 Dunda,1,1
1571 Sandhurst Circle,M1V1V2,Scarborough,ON,43.8089,-79.2699,608041250482403,1571 Sandh,0,1
1571 Sandhurst Circle,M1V1V2,Scarborough,ON,43.8094,-79.2695,27396,1571 Sandh,1,1
1571 Sandhurst Circle,M1V1V2,Scarborough,ON,43.8094,-79.2695,605251118011645,1571 Sandh,1,1
1571 Sandhurst Circle,M1V1V2,Scarborough,ON,43.8108,-79.271,608041250482032,1571 Sandh,1,1
1571 Sandhurst Circle,M1V1V2,Toronto,ON,43.8108,-79.271,24700,1571 Sandh,1,1
15749 - 37 st,T5Y0S5,Edmonton,AB,53.6179,-113.4,608041250482039,15749 - 37,0,0
15755 97st Street NW,T5X0C7,Edmonton,AB,50.655,-120.372,28985,15755 97st,0,0
1576 REGENT AVE W,R2C4B4,Winnipeg,MB,49.8938,-97.0642,21322,1576 REGEN,0,0
1578 Regent Ave West,R2C3B4,Winnipeg,MB,49.8976,-97.0653,26680,1578 Regen,0,0
1580 Regent Avenue West,R2C2Y9,Winnipeg,MB,49.8979,-97.0655,28013,1580 Regen,0,1
"1580 REGENT AVENUE WEST, UNIT 10",R2C2Y9,Winnipeg,MB,49.8979,-97.0655,12622,1580 REGEN,1,1
159 Boulevard Antonio-Barette,J6E1E6,Notre-Dame-Des-Prairies,QC,46.042,-73.4346,21799,159 Boulev,0,0
15900 Bayview Ave,L4G7Y3,Aurora,ON,44.0197,-79.4472,18624,15900 Bayv,0,0
15915 Macleod Trail SE,T2Y3R9,Calgary,AB,50.91,-114.068,18577,15915 Macl,0,0
1595 Bedford Highway,B4A3Y4,Bedford,NS,44.7331,-63.6548,20478,1595 Bedfo,0,1
1595 Bedford Highway,B4A3Y4,Bedford,NS,44.7348,-63.6552,25532,1595 Bedfo,1,1
