,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"220 Yonge St, Toronto, ON M5B 2L7, Canada",ChIJAet7UMs0K4gRDE_tP2TueR8,"220 YONGE STREET,Toronto,ON,Canada,M5B2H1",43.6540644,-79.3806966,1,M5B 2L7,OK,premise
1,ROOFTOP,"2200 Yonge St, Toronto, ON M4S 2C6, Canada",ChIJT-rplDwzK4gRqwFQo3rK374,"2200 Yonge St,Toronto,ON,Canada,M4S2C6",43.7060951,-79.3985366,1,M4S 2C6,OK,street_address
2,ROOFTOP,"2200 58 Ave, Vernon, BC V1T 9T2, Canada",ChIJx0urpWLYfVMR1DjmOzqxVXc,"2200-58 TH AVE,Vernon,BC,Canada,V1T9T2",50.2881957,-119.2595143,1,V1T 9T2,OK,premise
3,GEOMETRIC_CENTER,"2201 Broadmoor Blvd, Sherwood Park, AB T8H 2C1, Canada",ChIJiUZjJoA9oFMRZ1zAjQej5-c,"2201 Broadmoor Blvd,Sherwood Park,AB,Canada,T8H0A1",53.546859,-113.3179142,1,T8H 2C1,OK,premise
4,GEOMETRIC_CENTER,"2201 Broadmoor Blvd, Sherwood Park, AB T8H 2C1, Canada",ChIJiUZjJoA9oFMRZ1zAjQej5-c,"2201 Broadmoor Blvd.,Sherwood Park,AB,Canada,T8H0A1",53.546859,-113.3179142,1,T8H 2C1,OK,premise
5,ROOFTOP,"2202 Jane St, North York, ON M3M 1A4, Canada",ChIJhQtAqQYxK4gR08VfAHx9bE0,"2202 Jane Street,North York,ON,Canada,M3M1A4",43.7217761,-79.5116855,1,M3M 1A4,OK,street_address
6,ROOFTOP,"221 Boul des Grives local 2A, Gatineau, QC J9A 0C7, Canada",Ejtsb2NhbCAyQSwgMjIxIEJvdWwgZGVzIEdyaXZlcywgR2F0aW5lYXUsIFFDIEo5QSAwQzcsIENhbmFkYSIkGiIKFgoUChIJ81lfGQgDzkwRPjnmC5HthG0SCGxvY2FsIDJB,"221 boul des grives,  local 2A,Gatineau  ,QC,Canada,J9A0C7",45.43325369999999,-75.77902019999999,1,J9A 0C7,OK,subpremise
7,ROOFTOP,"221 Glendale Ave, St. Catharines, ON L2T 2K9, Canada",ChIJk66aJCJQ04kR6rb9ao8xUB8,"221 Glendale Ave,St. Catharines,ON,Canada,L2T2K9",43.1360847,-79.2240958,1,L2T 2K9,OK,street_address
8,ROOFTOP,"221 Glendale Ave, St. Catharines, ON L2T 2K9, Canada",ChIJk66aJCJQ04kR6rb9ao8xUB8,"221 Glendale Ave,St. Catharines,ON,Canada,L2T2K9",43.1360847,-79.2240958,1,L2T 2K9,OK,street_address
9,ROOFTOP,"221 Glendale Ave, St. Catharines, ON L2T 2K9, Canada",ChIJk66aJCJQ04kR6rb9ao8xUB8,"221 Glendale Ave,St. Catharines,ON,Canada,L2T2K9",43.1360847,-79.2240958,1,L2T 2K9,OK,street_address
10,ROOFTOP,"221 Glendale Ave, St. Catharines, ON L2T 2K9, Canada",ChIJk66aJCJQ04kR6rb9ao8xUB8,"221 Glendale Ave,St. Catharines,ON,Canada,L2T2K9",43.1360847,-79.2240958,1,L2T 2K9,OK,street_address
11,ROOFTOP,"221 Glendale Ave, St. Catharines, ON L2T 2K9, Canada",ChIJk66aJCJQ04kR6rb9ao8xUB8,"221 Glendale Ave,St. Catharines,ON,Canada,L2T2K9",43.1360847,-79.2240958,1,L2T 2K9,OK,street_address
12,ROOFTOP,"221 Glendale Ave, St. Catharines, ON L2T 2K9, Canada",ChIJk66aJCJQ04kR6rb9ao8xUB8,"221 Glendale Ave,St. Catharines,ON,Canada,L2T2K9",43.1360847,-79.2240958,1,L2T 2K9,OK,street_address
13,ROOFTOP,"221 Glendale Ave, St. Catharines, ON L2T 2K9, Canada",ChIJk66aJCJQ04kR6rb9ao8xUB8,"221 Glendale Ave,St. Catharines,ON,Canada,L2T2K9",43.1360847,-79.2240958,1,L2T 2K9,OK,street_address
14,ROOFTOP,"221 Glendale Ave, St. Catharines, ON L2T 2K9, Canada",ChIJk66aJCJQ04kR6rb9ao8xUB8,"221 Glendale Ave,St. Catherines,ON,Canada,L2T2K9",43.1360847,-79.2240958,1,L2T 2K9,OK,street_address
15,ROOFTOP,"221 Glendale Ave, St. Catharines, ON L2T 2K9, Canada",ChIJk66aJCJQ04kR6rb9ao8xUB8,"221 Glendale Ave ,St. Catharines,ON,Canada,L2T2K9",43.1360847,-79.2240958,1,L2T 2K9,OK,street_address
16,ROOFTOP,"221 Glendale Ave, St. Catharines, ON L2T 2K9, Canada",ChIJk66aJCJQ04kR6rb9ao8xUB8,"221 Glendale Ave ,St. Catharines,ON,Canada,L2T2K9",43.1360847,-79.2240958,1,L2T 2K9,OK,street_address
17,ROOFTOP,"221 Glendale Ave, St. Catharines, ON L2T 2K9, Canada",ChIJk66aJCJQ04kR6rb9ao8xUB8,"221 Glendale Ave.,St. Catharines,ON,Canada,L2T2K9",43.1360847,-79.2240958,1,L2T 2K9,OK,street_address
18,ROOFTOP,"221 Glendale Ave, St. Catharines, ON L2T 2K9, Canada",ChIJk66aJCJQ04kR6rb9ao8xUB8,"221 Glendale Ave.,St. Catharines,ON,Canada,L2T2K9",43.1360847,-79.2240958,1,L2T 2K9,OK,street_address
19,ROOFTOP,"221 Glendale Ave, St. Catharines, ON L2T 2K9, Canada",ChIJk66aJCJQ04kR6rb9ao8xUB8,"221 Glendale Ave.,St. Catharines,ON,Canada,L2T2K9",43.1360847,-79.2240958,1,L2T 2K9,OK,street_address
20,ROOFTOP,"221 Matheson St S, Kenora, ON P9N 1V1, Canada",ChIJpypX14MIvlIRqJ_OXC65Fb4,"221 Matherson St South,Kenora,ON,Canada,P9N1V1",49.7650987,-94.4897613,1,P9N 1V1,OK,premise
21,ROOFTOP,"2210 Bank St, Ottawa, ON K1V 1J5, Canada",ChIJVRUfmpQIzkwRabex2xZLA5c,"2210 Bank St,Ottawa,ON,Canada,K1V1J5",45.354899,-75.65475459999999,1,K1V 1J5,OK,premise
22,ROOFTOP,"2210 Bank St, Ottawa, ON K1V 1J5, Canada",ChIJVRUfmpQIzkwRabex2xZLA5c,"2210 Bank St,Ottawa,ON,Canada,K1V1J5",45.354899,-75.65475459999999,1,K1V 1J5,OK,premise
23,ROOFTOP,"2210 Bank St, Ottawa, ON K1V 1J5, Canada",ChIJVRUfmpQIzkwRabex2xZLA5c,"2210 Bank St,Ottawa,ON,Canada,K1V1J5",45.354899,-75.65475459999999,1,K1V 1J5,OK,premise
24,ROOFTOP,"2210 Main St, Penticton, BC V2A 5H8, Canada",ChIJGZHGQ8CJglQRJeHFHGBodE8,"2210 Main St,Penticton,BC,Canada,V2A5H8",49.47350729999999,-119.5801136,1,V2A 5H8,OK,premise
25,ROOFTOP,"2211 Parkedale Ave, Brockville, ON K6V 6M2, Canada",ChIJpQZppiQPzUwRZqygw55BAHM,"2211 Parkedale Ave,Brockville,ON,Canada,K6V6B2",44.6083891,-75.69263149999999,1,K6V 6M2,OK,street_address
26,ROOFTOP,"222 Centre St, Nipawin, SK S0E 1E0, Canada",ChIJEdkNFZxz_lIR2btEuPxNQhw,"222 Centre Street,Nipawin,SK,Canada,S0E1E0",53.3615809,-104.0162733,1,S0E 1E0,OK,street_address
27,ROOFTOP,"222 Spadina Ave, Toronto, ON M5T 3B3, Canada",ChIJywlhWcM0K4gR6W9quxyY9hY,"222 Spadina Ave,Toronto,ON,Canada,M5T3B3",43.65103000000001,-79.39820499999999,1,M5T 3B3,OK,street_address
28,ROOFTOP,"222 Spadina Ave, Toronto, ON M5T 3B3, Canada",ChIJywlhWcM0K4gR6W9quxyY9hY,"222 Spadina Avenue,Toronto,ON,Canada,M5T2C2",43.65103000000001,-79.39820499999999,1,M5T 3B3,OK,street_address
29,ROOFTOP,"222 Spadina Ave, Toronto, ON M5T 3B3, Canada",ChIJywlhWcM0K4gR6W9quxyY9hY,"222 Spadina Avenue,Toronto,ON,Canada,M5T3A2",43.65103000000001,-79.39820499999999,1,M5T 3B3,OK,street_address
30,ROOFTOP,"222 Spadina Ave, Toronto, ON M5T 3B3, Canada",ChIJywlhWcM0K4gR6W9quxyY9hY,"222 Spadina Avenue,Toronto,ON,Canada,M5T3B3",43.65103000000001,-79.39820499999999,1,M5T 3B3,OK,street_address
31,ROOFTOP,"222 Spadina Ave, Toronto, ON M5T 3B3, Canada",ChIJywlhWcM0K4gR6W9quxyY9hY,"222 Spadina Avenue,Toronto,ON,Canada,M5T3B3",43.65103000000001,-79.39820499999999,1,M5T 3B3,OK,street_address
32,ROOFTOP,"1350 Spring St NW #1, Atlanta, GA 30309, USA",ChIJz4_nc1oE9YgRxihstPqFSoM,,33.791638,-84.389488,1,30309,OK,"bar,establishment,food,point_of_interest,restaurant"
33,ROOFTOP,"1350 Spring St NW #1, Atlanta, GA 30309, USA",ChIJz4_nc1oE9YgRxihstPqFSoM,,33.791638,-84.389488,1,30309,OK,"bar,establishment,food,point_of_interest,restaurant"
34,RANGE_INTERPOLATED,"2220 Main St S, Airdrie, AB T4B, Canada",EiMyMjIwIE1haW4gU3QgUywgQWlyZHJpZSwgQUIsIENhbmFkYSIbEhkKFAoSCeFJnZ6YX3FTEZtMpB0bwfQmEKwR,"2220 Main St S,Airdrie,AB,Canada,T4B3G2",51.27032999999999,-114.0080036,1,T4B,OK,street_address
35,ROOFTOP,"2223 Victoria Ave E, Regina, SK S4N 6E4, Canada",ChIJB_ct3O4fHFMR9VrT-slzXaY,"2223 Victoria Avenue East,Regina,SK,Canada,S4N6E4",50.444989,-104.5521108,1,S4N 6E4,OK,street_address
36,ROOFTOP,"2223 Victoria Ave E, Regina, SK S4N 6E4, Canada",ChIJB_ct3O4fHFMR9VrT-slzXaY,"2223 Victoria Avenue East,Regina,SK,Canada,S4N6E4",50.444989,-104.5521108,1,S4N 6E4,OK,street_address
37,ROOFTOP,"2223 Victoria Ave E, Regina, SK S4N 6E4, Canada",ChIJB_ct3O4fHFMR9VrT-slzXaY,"2223 Victoria Avenue East,Regina,SK,Canada,S4N6P3",50.444989,-104.5521108,1,S4N 6E4,OK,street_address
38,ROOFTOP,"2225 Erin Mills Pkwy, Mississauga, ON L5K 1T9, Canada",ChIJxRs_IYtDK4gRX7rsQIZ36Qg,"2225 Erin Mills Parkway,Mississauga,ON,Canada,L5K1T8",43.5307487,-79.6533683,1,L5K 1T9,OK,premise
39,ROOFTOP,"2225 Erin Mills Pkwy, Mississauga, ON L5K 1T9, Canada",ChIJxRs_IYtDK4gRX7rsQIZ36Qg,"2225 Erin Mills Parkway,Mississauga,ON,Canada,L5K1T9",43.5307487,-79.6533683,1,L5K 1T9,OK,premise
