,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"222 Spadina Ave, Toronto, ON M5T 3B3, Canada",ChIJywlhWcM0K4gR6W9quxyY9hY,"222 Spadina Avenue,Toronto,ON,Canada,M5T3B3",43.65103000000001,-79.39820499999999,1,M5T 3B3,OK,street_address
1,ROOFTOP,"4700 Kingsway, Burnaby, BC V5H 4N2, Canada",ChIJseKHAVl2hlQRy0sk_s7o2Eo,"4700 Kingsway,Burnaby,BC,Canada,V5H4N2",49.2274141,-122.9999087,1,V5H 4N2,OK,street_address
2,ROOFTOP,"4725 Dorchester Rd, Niagara Falls, ON L2E 6N7, Canada",ChIJ12iPIadE04kRfwpoFCSrq08,"4725 Dorchester Rd.,Niagara Falls,ON,Canada,L2J2K8",43.10523300000001,-79.1121378,1,L2E 6N7,OK,street_address
3,ROOFTOP,"7500 120 St, Surrey, BC V3W 3N1, Canada",ChIJ3f9AWWbZhVQRUG9ftRPuJww,"7500 120 St,Surrey,BC,Canada,V3W3N1",49.1390255,-122.8898309,1,V3W 3N1,OK,street_address
4,ROOFTOP,"9737 Macleod Trail SW, Calgary, AB T2J 0P6, Canada",ChIJ0z7mlDpxcVMR9kvUVEvSRjM,"9737 Macleod Trail S.W. ,Calgary ,AB,Canada,T2J0P6",50.9656607,-114.074168,1,T2J 0P6,OK,street_address
5,GEOMETRIC_CENTER,"Eglinton Square, Scarborough, ON M1L 2K1, Canada",EjBFZ2xpbnRvbiBTcXVhcmUsIFNjYXJib3JvdWdoLCBPTiBNMUwgMksxLCBDYW5hZGEiLiosChQKEgmLdTHS3M3UiRFQrJ2Yy9s5cBIUChIJa_365NzN1IkRsoI7y1cJ8BA,"Eglinton Square Blvd ,Scarborough,ON,Canada,M1L2K1",43.7236397,-79.3018419,1,M1L 2K1,OK,route
6,,,,"# 2 HOSPITAL ST,Fort McMurray,AB,Canada,T9H5E4",,,0,,INVALID_REQUEST,
7,,,,"# 54-1225 ST MARY ' S RD,Winnipeg,MB,Canada,R2M5E6",,,0,,INVALID_REQUEST,
8,,,,"#1 York Tech Drive,Markham,ON,Canada,L6G1A6",,,0,,INVALID_REQUEST,
9,,,,"#100 - 20 VALLEYWOOD DRIVE,Markham,ON,Canada,L3R6G1",,,0,,INVALID_REQUEST,
10,,,,"#100  4700 130th Avenue SE,Calgary,AB,Canada,T2Z4E7",,,0,,INVALID_REQUEST,
11,,,,"#101 - 2900 DRINKWATER ROAD,Duncan,BC,Canada,V9L6C6",,,0,,INVALID_REQUEST,
12,,,,"#101 - 45805 LUCKAKUCK WAY,Chilliwack,BC,Canada,V2R5S3",,,0,,INVALID_REQUEST,
13,,,,"#101-45805 Luckakuck Way,Chilliwack,BC,Canada,V2R5P9",,,0,,INVALID_REQUEST,
14,,,,"#101T, 15277-100 Avenue,Calgary,AB,Canada,T2W3N2",,,0,,INVALID_REQUEST,
15,,,,"#101T, 15277-100 Avenue,Surrey,BC,Canada,V3R8X2",,,0,,INVALID_REQUEST,
16,,,,"#103 19232 Enterprise Way,Surrey,BC,Canada,V3S6J9",,,0,,INVALID_REQUEST,
17,,,,"#110 - 350R SHAWVILLE BOULEVARD SE,Calgary,AB,Canada,T2Y3S4",,,0,,INVALID_REQUEST,
18,,,,"#130-15850 26th Ave.,Surrey,BC,Canada,V3Z2N6",,,0,,INVALID_REQUEST,
19,ROOFTOP,"1350 Spring St NW #1, Atlanta, GA 30309, USA",ChIJz4_nc1oE9YgRxihstPqFSoM,,33.791638,-84.389488,1,30309,OK,"bar,establishment,food,point_of_interest,restaurant"
20,,,,"#155 - 2463 Hwy. #97,Kelowna,BC,Canada,V1X4J2",,,0,,INVALID_REQUEST,
21,,,,"#16-7 Assiniboine Drive,Saskatoon,SK,Canada,S7K1H1",,,0,,INVALID_REQUEST,
22,,,,"#1C - 3734 MAYOR MAGRATH DRIVE SOUTH,Lethbridge,AB,Canada,T1K7T6",,,0,,INVALID_REQUEST,
23,,,,"#201 - 3900 WALLS AVENUE,Prince George,BC,Canada,V2N4L4",,,0,,INVALID_REQUEST,
24,,,,"#2100 PARK ROYAL SOUTH,West Vancouver,BC,Canada,V7T2W4",,,0,,INVALID_REQUEST,
25,,,,"#221 - 1723 PRESTON AVE. NORTH,Saskatoon,SK,Canada,S7N4V2",,,0,,INVALID_REQUEST,
26,,,,"#300 - 800 15TH STREET EAST,Prince Albert,SK,Canada,S6V8E3",,,0,,INVALID_REQUEST,
27,,,,"#300 - 800 15TH STREET EAST,Prince Albert,SK,Canada,S6V8E3",,,0,,INVALID_REQUEST,
28,,,,"#4 - 32900 SOUTH FRASER WAY,Abbotsford,BC,Canada,V2S5A1",,,0,,INVALID_REQUEST,
29,,,,"#6 - 1910 PEMBINA HWY.,Winnipeg,MB,Canada,R3T4S5",,,0,,INVALID_REQUEST,
30,ROOFTOP,"1 McCarthy Blvd, Regina, SK S4T 6V7, Canada",ChIJSQsXPC8cHFMRiG0gBRLVSjc,"1 - 398A McCarthy Blvd North,Regina,SK,Canada,S4R7M2",50.4686371,-104.6700782,1,S4T 6V7,OK,street_address
31,ROOFTOP,"1 Adelaide St N, London, ON N6B 3G7, Canada",ChIJC5x5VmryLogRusBQa_n1xq4,"1 Adelaide Street North,London,ON,Canada,N6B3P8",42.975888,-81.2268406,1,N6B 3G7,OK,premise
32,RANGE_INTERPOLATED,"1 Bass Pro Mills Dr, Concord, ON L4K 5W4, Canada",EjAxIEJhc3MgUHJvIE1pbGxzIERyLCBDb25jb3JkLCBPTiBMNEsgNVc0LCBDYW5hZGEiGhIYChQKEglnjjipFS8riBFWy6Z2bFR2fBAB,"1 Bass Pro Mills Dr,Vaughan,ON,Canada,L4K5W4",43.8231966,-79.533821,1,L4K 5W4,OK,street_address
33,RANGE_INTERPOLATED,"1 Bass Pro Mills Dr, Concord, ON L4K 5W4, Canada",EjAxIEJhc3MgUHJvIE1pbGxzIERyLCBDb25jb3JkLCBPTiBMNEsgNVc0LCBDYW5hZGEiGhIYChQKEglnjjipFS8riBFWy6Z2bFR2fBAB,"1 Bass Pro Mills Drive,Toronto,ON,Canada,L4K5W4",43.8231966,-79.533821,1,L4K 5W4,OK,street_address
34,RANGE_INTERPOLATED,"1 Bass Pro Mills Dr, Concord, ON L4K 5W4, Canada",EjAxIEJhc3MgUHJvIE1pbGxzIERyLCBDb25jb3JkLCBPTiBMNEsgNVc0LCBDYW5hZGEiGhIYChQKEglnjjipFS8riBFWy6Z2bFR2fBAB,"1 Bass Pro Mills Drive,Vaughan,ON,Canada,L4K5W4",43.8231966,-79.533821,1,L4K 5W4,OK,street_address
