,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"40 Matheson St S, Kenora, ON P9N 1T6, Canada",ChIJqzZT4YEIvlIRUo7mZHpqIy8,"40 Matheson St South,Kenora,ON,Canada,P9N1T6",49.7676568,-94.4887974,1,P9N 1T6,OK,subpremise
1,ROOFTOP,"40 McEwan Dr E, Bolton, ON L7E 2Y3, Canada",ChIJdZ0a6YshK4gRD08-06ujw5U,"40 McEwan Dr. E,Bolton,ON,Canada,L7E2Y3",43.8633838,-79.71286719999999,1,L7E 2Y3,OK,premise
2,ROOFTOP,"40 McEwan Dr E, Bolton, ON L7E 2Y3, Canada",ChIJdZ0a6YshK4gRD08-06ujw5U,"40 McEwan Drive E,Bolton,ON,Canada,L7E2Y3",43.8633838,-79.71286719999999,1,L7E 2Y3,OK,premise
3,ROOFTOP,"40 Park Ave, Lac du Bonnet, MB R0E 1A0, Canada",ChIJQWdZeGE0lVIR1pSinjRi8Lo,"40 Park Ave,Lac Du Bonnet,MB,Canada,R0E1A0",50.2570715,-96.05841939999999,1,R0E 1A0,OK,premise
4,ROOFTOP,"40 Quarry St, Cochrane, AB T4C 2B7, Canada",ChIJFwhMuX0_cVMRA4gqmOlfBfE,"40 Quarry Street East,Cochrane,AB,Canada,T4C0W6",51.183667,-114.4697825,1,T4C 2B7,OK,premise
5,ROOFTOP,"40 Rue Évangéline, Granby, QC J2G 8K1, Canada",ChIJ81M8F4zOyUwRFNdmwbTl3KQ,"40 Rue Evangeline,Granby,QC,Canada,J2G8K1",45.4153251,-72.7498547,1,J2G 8K1,OK,street_address
6,ROOFTOP,"40 Rue Évangéline, Granby, QC J2G 8K1, Canada",ChIJ81M8F4zOyUwRFNdmwbTl3KQ,"40 Rue Evangeline,Granby,QC,Canada,J2G8K1",45.4153251,-72.7498547,1,J2G 8K1,OK,street_address
7,ROOFTOP,"40 Rue Évangéline, Granby, QC J2G 8K1, Canada",ChIJ81M8F4zOyUwRFNdmwbTl3KQ,"40 Rue Evangeline,Granby,QC,Canada,J2G8K1",45.4153251,-72.7498547,1,J2G 8K1,OK,street_address
8,ROOFTOP,"40 Rue Évangéline, Granby, QC J2G 8K1, Canada",ChIJ81M8F4zOyUwRFNdmwbTl3KQ,"40 Rue Evangeline,Granby,QC,Canada,J2G8K1",45.4153251,-72.7498547,1,J2G 8K1,OK,street_address
9,ROOFTOP,"40 Rue Évangéline, Granby, QC J2G 8K1, Canada",ChIJ81M8F4zOyUwRFNdmwbTl3KQ,"40 Rue Evangeline,Granby,QC,Canada,J2G8K1",45.4153251,-72.7498547,1,J2G 8K1,OK,street_address
10,ROOFTOP,"40 Rue Évangéline, Granby, QC J2G 8K1, Canada",ChIJ81M8F4zOyUwRFNdmwbTl3KQ,"40 Rue Evangeline,Granby,QC,Canada,J2G8K1",45.4153251,-72.7498547,1,J2G 8K1,OK,street_address
11,ROOFTOP,"40 Rue Évangéline, Granby, QC J2G 8K1, Canada",ChIJ81M8F4zOyUwRFNdmwbTl3KQ,"40 Rue Evangeline,Granby,QC,Canada,J2G8K1",45.4153251,-72.7498547,1,J2G 8K1,OK,street_address
12,ROOFTOP,"40 Rue Évangéline, Granby, QC J2G 8K1, Canada",ChIJ81M8F4zOyUwRFNdmwbTl3KQ,"40 Rue Evangeline,Granby,QC,Canada,J2G8K1",45.4153251,-72.7498547,1,J2G 8K1,OK,street_address
13,ROOFTOP,"40 Rue de Strasbourg, Candiac, QC J5R 0B4, Canada",ChIJKQw33UsMyUwRT59s8sg457o,"40 Rue Strasbourg,Candiac,QC,Canada,J5R0B4",45.3692617,-73.5180534,1,J5R 0B4,OK,subpremise
14,ROOFTOP,"400 Avenue Dorval, Dorval, QC H9S 3H7, Canada",ChIJd_JZzCEWyUwRpTop075iYsM,"400 ave Dorval,Dorval,QC,Canada,J1X2T5",45.4452236,-73.74298739999999,2,H9S 3H7,OK,street_address
15,ROOFTOP,"400 Boulevard du Séminaire N, Saint-Jean-sur-Richelieu, QC J3B 5L2, Canada",ChIJT9i56TWiyUwRVeZq12JmGws,"400 Boulevard Seminaire Nord,St-Jean-Sur-Richelieu,QC,Canada,J3B5L2",45.3115473,-73.2670444,1,J3B 5L2,OK,street_address
16,ROOFTOP,"400 Boulevard Saint-Joseph, Drummondville, QC J2C 2A8, Canada",ChIJ009O6MsTyEwR8y0vE6ZlSqQ,"400 Boulevard St-Joseph,Drummondville,QC,Canada,J2C2A8",45.8965962,-72.51755039999999,1,J2C 2A8,OK,premise
17,ROOFTOP,"400 Kent St W, Lindsay, ON K9V 6E3, Canada",ChIJNa2MjcJ71YkR_O3wVHvO3Zo,"400 Kent St W,Lindsay,ON,Canada,K9V6K2",44.3507367,-78.7615575,1,K9V 6E3,OK,street_address
18,ROOFTOP,"400 King St #1500, Estevan, SK S4A 2B4, Canada",Ei4xNTAwLCA0MDAgS2luZyBTdCwgRXN0ZXZhbiwgU0sgUzRBIDJCNCwgQ2FuYWRhIiAaHgoWChQKEgkrM6IymCIgUxHbM2qP80JiSBIEMTUwMA,"400 King St Unit 1500,Estevan,SK,Canada,S4A2B4",49.14561,-102.978022,1,S4A 2B4,OK,subpremise
