,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
208,ROOFTOP,"150 Rue Piuze, Matane, QC G4W 4T2, Canada",ChIJk6Wja43AlkwRagDhAtcoK0s,"150 rue Piuze,Matane,QC,Canada,G4W4T2",48.8439911,-67.5563647,2,G4W 4T2,OK,"establishment,health,pharmacy,point_of_interest,store"
209,ROOFTOP,"150 Rue Sainte-Catherine O, Montréal, QC H5B 0A5, Canada",ChIJWQFarU8ayUwR_U0POHFUEbg,"150 Rue Sainte-Catherine O,Montreal,QC,Canada,H2X3Y2",45.5075084,-73.5644126,1,H5B 0A5,OK,street_address
210,ROOFTOP,"150 Rue Sainte-Catherine O, Montréal, QC H5B 0A5, Canada",ChIJWQFarU8ayUwR_U0POHFUEbg,"150 Rue Ste-Catherine Ouest,Montreal,QC,Canada,H2X3Y2",45.5075084,-73.5644126,1,H5B 0A5,OK,street_address
211,ROOFTOP,"150 West Dr #19, Brampton, ON L6T 5P1, Canada",Ei0xOSwgMTUwIFdlc3QgRHIsIEJyYW1wdG9uLCBPTiBMNlQgNVAxLCBDYW5hZGEiHhocChYKFAoSCYlGOCwHPiuIEWgjEexwwptKEgIxOQ,"150 West Drive, Unit 19,Brampton,ON,Canada,L6T5P1",43.7068028,-79.73476389999999,1,L6T 5P1,OK,subpremise
212,ROOFTOP,"150 West St, Simcoe, ON N3Y 5C1, Canada",ChIJrViyW9pNLIgRrcb2Mc4QNVE,"150 West St.,Simcoe,ON,Canada,N3Y5E1",42.8342282,-80.3086014,1,N3Y 5C1,OK,premise
213,ROOFTOP,"1500 Avenue Atwater, Montréal, QC H3Z 1X5, Canada",ChIJoxc_YW0ayUwRTqbVIm96w0E,"1500 Atwater Ave,Montreal,QC,Canada,H3Z1X5",45.4895058,-73.5852657,1,H3Z 1X5,OK,street_address
214,ROOFTOP,"1500 Avenue Atwater, Montréal, QC H3Z 1X5, Canada",ChIJoxc_YW0ayUwRTqbVIm96w0E,"1500 Atwater Ave,Montreal,QC,Canada,H3Z1X5",45.4895058,-73.5852657,1,H3Z 1X5,OK,street_address
215,ROOFTOP,"1500 Avenue Atwater, Montréal, QC H3Z 1X5, Canada",ChIJoxc_YW0ayUwRTqbVIm96w0E,"1500 Atwater Ave,Montreal,QC,Canada,H3Z1X5",45.4895058,-73.5852657,1,H3Z 1X5,OK,street_address
216,ROOFTOP,"1500 Avenue Atwater, Montréal, QC H3Z 1X5, Canada",ChIJoxc_YW0ayUwRTqbVIm96w0E,"1500 Atwater Ave,Montreal,QC,Canada,H3Z1X5",45.4895058,-73.5852657,1,H3Z 1X5,OK,street_address
217,ROOFTOP,"1500 Avenue Atwater, Montréal, QC H3Z 1X5, Canada",ChIJoxc_YW0ayUwRTqbVIm96w0E,"1500 Atwater Ave,Montreal,QC,Canada,H3Z1X5",45.4895058,-73.5852657,1,H3Z 1X5,OK,street_address
