,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,,,,"4720 McClelland Road, #1835,RICHMOND,BC,Canada,V6X0M6",,,0,,REQUEST_DENIED,
1,ROOFTOP,"4721 70 St, Stettler, AB T0C 2L1, Canada",ChIJs1AYrRnMdFMRuyCWcPtkun0,"4721-70 St,STETTLER,AB,Canada,T0C2L1",52.3233294,-112.7383589,1,T0C 2L1,OK,premise
2,ROOFTOP,"4725 Gordon Rd, Regina, SK S4W 0B7, Canada",ChIJE4MwVUGnHlMRIO9ey8OGQAE,"4725 Gordon Road,Regina,SK,Canada,S4W0B7",50.4043058,-104.6493748,1,S4W 0B7,OK,street_address
3,ROOFTOP,"4730 Joyce Ave, Powell River, BC V8A 3B6, Canada",ChIJ1wG50trmh1QRKlGKQZlsY8c,"4730 Joyce Avenue,Powell River,BC,Canada,V8A3B6",49.8438205,-124.5184289,1,V8A 3B6,OK,premise
4,ROOFTOP,"4741 Lakelse Ave, Terrace, BC V8G 4R9, Canada",ChIJQ_mQAO2ZdFQR3MYuYutu2gQ,"4741 Lakelse Ave.,Terrace,BC,Canada,V8G4R9",54.5163579,-128.596308,1,V8G 4R9,OK,street_address
5,ROOFTOP,"4741 Lakelse Ave, Terrace, BC V8G 4R9, Canada",ChIJQ_mQAO2ZdFQR3MYuYutu2gQ,"4741 Lakelse Ave.,Terrace,BC,Canada,V8G4R9",54.5163579,-128.596308,1,V8G 4R9,OK,street_address
6,RANGE_INTERPOLATED,"4747 67 St, Red Deer, AB T4N 5V3, Canada",Eig0NzQ3IDY3IFN0LCBSZWQgRGVlciwgQUIgVDROIDVWMywgQ2FuYWRhIhsSGQoUChIJQVrWbrRVdFMRdKP4Sp3EhVcQiyU,"4747 67 St,Red Deer,AB,Canada,T4N6H3",52.2884805,-113.8072121,1,T4N 5V3,OK,street_address
7,,,,"4747 67 St #410,Red Deer,AB,Canada,T4N6H3",,,0,,REQUEST_DENIED,
8,ROOFTOP,"4747 67 St Unit 106 B, Red Deer, AB T4N 6H3, Canada",EjRVbml0IDEwNiBCLCA0NzQ3IDY3IFN0LCBSZWQgRGVlciwgQUIgVDROIDZIMywgQ2FuYWRhIiYaJAoWChQKEgn99_zPtFV0UxECjxzpi8kWfRIKVW5pdCAxMDYgQg,"4747 67 St Unit 106 B,Red Deer,AB,Canada,T4N6H3",52.28668039999999,-113.8102327,1,T4N 6H3,OK,subpremise
9,RANGE_INTERPOLATED,"4747 67 St, Red Deer, AB T4N 5V3, Canada",Eig0NzQ3IDY3IFN0LCBSZWQgRGVlciwgQUIgVDROIDVWMywgQ2FuYWRhIhsSGQoUChIJQVrWbrRVdFMRdKP4Sp3EhVcQiyU,"4747 67 St.,Red Deer,AB,Canada,T4N6H3",52.2884805,-113.8072121,1,T4N 5V3,OK,street_address
