,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"250 Front St E, Toronto, ON M5A 1E9, Canada",ChIJm6IC-TvL1IkRWvpK4Mu72BU,"250 Front Street East,Toronto,ON,Canada,M5A1E9",43.6518263,-79.3635402,1,M5A 1E9,OK,premise
1,GEOMETRIC_CENTER,"#250 1 Londonderry Mall, Edmonton, AB T5C 3C8, Canada",ChIJtc35PFMjoFMRkEnr-LqzTlE,"250 LONDONDERRY MALL NW,Edmonton,AB,Canada,T5C3C8",53.599753,-113.4545109,1,T5C 3C8,OK,"establishment,point_of_interest,shoe_store,store"
2,ROOFTOP,"250 The East Mall, Etobicoke, ON M9B 3Y8, Canada",ChIJN8gwrPY3K4gROZvVVrDu1G4,"250 The East Mall,Toronto,ON,Canada,M9B3Y8",43.6324095,-79.55648049999999,1,M9B 3Y8,OK,premise
3,ROOFTOP,"250 The East Mall, Etobicoke, ON M9B 3Y8, Canada",ChIJN8gwrPY3K4gROZvVVrDu1G4,"250 The East Mall,Etobicoke,ON,Canada,M9B3Y8",43.6324095,-79.55648049999999,1,M9B 3Y8,OK,premise
4,ROOFTOP,"250 The East Mall, Etobicoke, ON M9B 3Y8, Canada",ChIJN8gwrPY3K4gROZvVVrDu1G4,"250 The East Mall,Etobicoke,ON,Canada,M9B3Y8",43.6324095,-79.55648049999999,1,M9B 3Y8,OK,premise
5,ROOFTOP,"250 The East Mall, Etobicoke, ON M9B 3Y8, Canada",ChIJN8gwrPY3K4gROZvVVrDu1G4,"250 The East Mall,Etobicoke,ON,Canada,M9B3Y8",43.6324095,-79.55648049999999,1,M9B 3Y8,OK,premise
6,ROOFTOP,"250 The East Mall, Etobicoke, ON M9B 3Y8, Canada",ChIJN8gwrPY3K4gROZvVVrDu1G4,"250 The East Mall,Etobicoke,ON,Canada,M9B3Y8",43.6324095,-79.55648049999999,1,M9B 3Y8,OK,premise
7,ROOFTOP,"250 The East Mall, Etobicoke, ON M9B 3Y8, Canada",ChIJN8gwrPY3K4gROZvVVrDu1G4,"250 The East Mall,Etobicoke,ON,Canada,M9B3Y8",43.6324095,-79.55648049999999,1,M9B 3Y8,OK,premise
8,ROOFTOP,"250 The East Mall, Etobicoke, ON M9B 3Y8, Canada",ChIJN8gwrPY3K4gROZvVVrDu1G4,"250 The East Mall,Etobicoke,ON,Canada,M9B3Y8",43.6324095,-79.55648049999999,1,M9B 3Y8,OK,premise
9,ROOFTOP,"250 The East Mall Unit K-5, Etobicoke, ON M9B 3Y8, Canada",EjpVbml0IEstNSwgMjUwIFRoZSBFYXN0IE1hbGwsIEV0b2JpY29rZSwgT04gTTlCIDNZOCwgQ2FuYWRhIiQaIgoWChQKEgk3yDCs9jcriBE5m9VWsO7UbhIIVW5pdCBLLTU,"250 The East Mall; Unit K-5,Etobicoke,ON,Canada,M9B3Y8",43.6324095,-79.55648049999999,1,M9B 3Y8,OK,subpremise
10,ROOFTOP,"250 Boulevard Brisebois, Châteauguay, QC J6K 5G7, Canada",ChIJE5XsWNBqyUwRd32iX171HAE,"250, boul. Brisebois,Chateauguay,QC,Canada,J6K0H5",45.3428874,-73.7629357,1,J6K 5G7,OK,premise
11,ROOFTOP,"2500 Appleby Line, Burlington, ON L7L 0A2, Canada",ChIJy1glzklhK4gR7dd_U3diuJE,"2500 Appleby Line,Burlington,ON,Canada,L7L0A2",43.4050355,-79.8069273,1,L7L 0A2,OK,street_address
12,ROOFTOP,"2500 Boulevard Talbot RR4, Chicoutimi, QC G7H 5B1, Canada",ChIJu1hyCcYSCUERkCLCL-yBGCE,"2500 Boul. Talbot, Rr4,Chicoutimi,QC,Canada,G7H4C1",48.3830467,-71.0827006,1,G7H 5B1,OK,"department_store,establishment,point_of_interest,store"
13,ROOFTOP,"2500 Boulevard Talbot RR4, Chicoutimi, QC G7H 5B1, Canada",ChIJu1hyCcYSCUERkCLCL-yBGCE,"2500 Boul. Talbot, Rr4,Chicoutimi,QC,Canada,G7H5B1",48.3830467,-71.0827006,1,G7H 5B1,OK,"department_store,establishment,point_of_interest,store"
14,ROOFTOP,"2500 Winston Park Dr BUILDING A, Oakville, ON L6H 7E5, Canada",Ej5CVUlMRElORyBBLCAyNTAwIFdpbnN0b24gUGFyayBEciwgT2FrdmlsbGUsIE9OIEw2SCA3RTUsIENhbmFkYSImGiQKFgoUChIJ-aGKOqhDK4gRrR9JlaLT7E8SCkJVSUxESU5HIEE,"2500 WINSTON PARK DRIVE, BUILDING A,Oakville,ON,Canada,L6H7E5",43.5162303,-79.6859041,1,L6H 7E5,OK,subpremise
15,ROOFTOP,"2500 Winston Park Dr BUILDING A, Oakville, ON L6H 7E5, Canada",Ej5CVUlMRElORyBBLCAyNTAwIFdpbnN0b24gUGFyayBEciwgT2FrdmlsbGUsIE9OIEw2SCA3RTUsIENhbmFkYSImGiQKFgoUChIJ-aGKOqhDK4gRrR9JlaLT7E8SCkJVSUxESU5HIEE,"2500 WINSTON PARK DRIVE, BUILDING A,Oakville,ON,Canada,L6H7E5",43.5162303,-79.6859041,1,L6H 7E5,OK,subpremise
16,ROOFTOP,"2505 17 Ave SW #220, Calgary, AB T3C 1J7, Canada",EjAyMjAsIDI1MDUgMTcgQXZlIFNXLCBDYWxnYXJ5LCBBQiBUM0MgMUo3LCBDYW5hZGEiHxodChYKFAoSCR3T01grbnFTEXSdjkwpYhqcEgMyMjA,"2505 17TH AVE SW SUITE 220,Calgary,AB,Canada,T3E7V3",51.0375917,-114.1182825,1,T3C 1J7,OK,subpremise
17,ROOFTOP,"2514 Finch Ave W, North York, ON M9M 2G3, Canada",ChIJgyNBdHUwK4gRODdSQEBu8Hc,"2514 Finch Av West,North York,ON,Canada,M9M2G3",43.7487533,-79.559176,1,M9M 2G3,OK,subpremise
18,ROOFTOP,"2515 Bank St, Ottawa, ON K1V 0Y5, Canada",ChIJs863FekIzkwRKnJOC8X6hp8,"2515 Bank St,Ottawa,ON,Canada,K1V8R9",45.3546528,-75.6449325,1,K1V 0Y5,OK,street_address
19,ROOFTOP,"2515 Hurontario St, Mississauga, ON L5A 4C7, Canada",ChIJu_hyc_tGK4gRidSkXrP7LrM,"2515 HURONTARIO ST,Mississauga,ON,Canada,L5A4C8",43.5791722,-79.61428339999999,1,L5A 4C7,OK,premise
20,ROOFTOP,"252 Trunk Rd, Duncan, BC V9L 2P2, Canada",ChIJp6NC8PVFj1QRHg3E_N0f4M8,"252 Trunk Road,Duncan,BC,Canada,V9L2P2",48.7752598,-123.7023062,1,V9L 2P2,OK,subpremise
21,ROOFTOP,"2520 23 St NE, Calgary, AB T2E 8J4, Canada",ChIJlxg_w95kcVMRTac-8Rm4yzY,"2520 23 St. NE,Calgary,AB,Canada,T2E8L2",51.07505,-114.0027641,1,T2E 8J4,OK,premise
22,ROOFTOP,"2525 36 St NE, Calgary, AB T1Y 6R4, Canada",ChIJJYrHqsNkcVMRStYYrHaa6hE,"2525 36 St. NE,Calgary,AB,Canada,T1Y5T4",51.073401,-113.9820196,1,T1Y 6R4,OK,street_address
23,ROOFTOP,"2525 36 St NE, Calgary, AB T1Y 6R4, Canada",ChIJJYrHqsNkcVMRStYYrHaa6hE,"2525 36 St. NE,Calgary,AB,Canada,T1Y5T4",51.073401,-113.9820196,1,T1Y 6R4,OK,street_address
24,ROOFTOP,"2525 36 St NE, Calgary, AB T1Y 6R4, Canada",ChIJJYrHqsNkcVMRStYYrHaa6hE,"2525 36 St. NE,Calgary,AB,Canada,T1Y5T4",51.073401,-113.9820196,1,T1Y 6R4,OK,street_address
25,ROOFTOP,"2525 36 St NE, Calgary, AB T1Y 6R4, Canada",ChIJJYrHqsNkcVMRStYYrHaa6hE,"2525 36 St. NE,Calgary,AB,Canada,T1Y5T4",51.073401,-113.9820196,1,T1Y 6R4,OK,street_address
26,ROOFTOP,"2525 36 St NE, Calgary, AB T1Y 6R4, Canada",ChIJJYrHqsNkcVMRStYYrHaa6hE,"2525 36 St. NE,Calgary,AB,Canada,T1Y5T4",51.073401,-113.9820196,1,T1Y 6R4,OK,street_address
27,ROOFTOP,"2525 36 St NE, Calgary, AB T1Y 6R4, Canada",ChIJJYrHqsNkcVMRStYYrHaa6hE,"2525 36 St. NE,Calgary,AB,Canada,T1Y5T4",51.073401,-113.9820196,1,T1Y 6R4,OK,street_address
28,ROOFTOP,"2525 36 St NE, Calgary, AB T1Y 6R4, Canada",ChIJJYrHqsNkcVMRStYYrHaa6hE,"2525 36 St. NE,Calgary,AB,Canada,T1Y5T4",51.073401,-113.9820196,1,T1Y 6R4,OK,street_address
29,ROOFTOP,"2525 36 St NE, Calgary, AB T1Y 6R4, Canada",ChIJJYrHqsNkcVMRStYYrHaa6hE,"2525 36 St. NE,Calgary,AB,Canada,T1Y5T4",51.073401,-113.9820196,1,T1Y 6R4,OK,street_address
30,ROOFTOP,"2525 36 St NE, Calgary, AB T1Y 6R4, Canada",ChIJJYrHqsNkcVMRStYYrHaa6hE,"2525 36 St. NE,Calgary,AB,Canada,T1Y5T4",51.073401,-113.9820196,1,T1Y 6R4,OK,street_address
31,ROOFTOP,"2525 36 St NE, Calgary, AB T1Y 6R4, Canada",ChIJJYrHqsNkcVMRStYYrHaa6hE,"2525 36 St. NE,Calgary,AB,Canada,T1Y5T4",51.073401,-113.9820196,1,T1Y 6R4,OK,street_address
32,ROOFTOP,"2525 36 St NE, Calgary, AB T1Y 6R4, Canada",ChIJJYrHqsNkcVMRStYYrHaa6hE,"2525 36 St. NE,Calgary,AB,Canada,T1Y5T4",51.073401,-113.9820196,1,T1Y 6R4,OK,street_address
33,ROOFTOP,"2525 36 St NE, Calgary, AB T1Y 6R4, Canada",ChIJJYrHqsNkcVMRStYYrHaa6hE,"2525 36 Street NE,Calgary,AB,Canada,T1Y5T4",51.073401,-113.9820196,1,T1Y 6R4,OK,street_address
34,ROOFTOP,"2525 36 St NE, Calgary, AB T1Y 6R4, Canada",ChIJJYrHqsNkcVMRStYYrHaa6hE,"2525 36th St. NE,Calgary,AB,Canada,T1Y5T4",51.073401,-113.9820196,1,T1Y 6R4,OK,street_address
35,ROOFTOP,"2525 St Clair Ave W, Toronto, ON M6N 4Z5, Canada",ChIJAYjlK5Y2K4gRDYhwC3f7Dj4,"2525 ST CLAIR AVE W,Toronto,ON,Canada,M6N4Z5",43.6680541,-79.48458149999999,1,M6N 4Z5,OK,premise
36,ROOFTOP,"2530 Victoria Ave E, Regina, SK S4N 6M5, Canada",ChIJZ-4tDu4fHFMRnUihpzNLVec,"2530 Victoria Ave. E,Regina,SK,Canada,S4N6M5",50.4484664,-104.5475591,1,S4N 6M5,OK,subpremise
37,ROOFTOP,"254 Main St, Iroquois Falls, ON P0K 1G0, Canada",ChIJpQsJCDs8I00R6oEithgy1a8,"254 Main Street,Iroquois falls,ON,Canada,P0K1G0",48.758384,-80.686235,2,P0K 1G0,OK,"establishment,point_of_interest,store"
38,ROOFTOP,"2549 Weston Rd, York, ON M9N 2A7, Canada",ChIJ71lV3MEwK4gRO_6O8u_IkM8,"2549 Weston Road,Toronto,ON,Canada,M9N2A7",43.7081243,-79.5331978,1,M9N 2A7,OK,street_address
39,ROOFTOP,"255 5 Ave SW, Calgary, AB T2P 3G6, Canada",ChIJX7LocfxvcVMRI4nnGly9A1E,"255 5th Ave SW,Calgary,AB,Canada,T2P3G6",51.0482551,-114.0670787,1,T2P 3G6,OK,street_address
40,ROOFTOP,"255 Dundas St E, Waterdown, ON L0R 2H6, Canada",ChIJL3kEB0KdLIgRQlmjtt8iM3Q,"255 Dundas St E,Waterdown,ON,Canada,L0R2H6",43.3310088,-79.89771610000001,1,L0R 2H6,OK,street_address
41,ROOFTOP,"255 Dundas St E, Waterdown, ON L0R 2H6, Canada",ChIJL3kEB0KdLIgRQlmjtt8iM3Q,"255 Dundas Street East ,Waterdown,ON,Canada,L0R2H6",43.3310088,-79.89771610000001,1,L0R 2H6,OK,street_address
42,ROOFTOP,"255 E Hills Blvd SE, Calgary, AB T2B 0A1, Canada",ChIJbePWH3x7cVMRwaXKTYt_6Y0,"255 East Hills Blvd SE,Calgary,AB,Canada,T2A4X7",51.0386955,-113.9111464,1,T2B 0A1,OK,premise
43,ROOFTOP,"255 E Hills Blvd SE, Calgary, AB T2B 0A1, Canada",ChIJbePWH3x7cVMRwaXKTYt_6Y0,"255 Easthills Blvd SE,Calgary,AB,Canada,T2A4X7",51.0386955,-113.9111464,1,T2B 0A1,OK,premise
44,RANGE_INTERPOLATED,"255 Front St W, Toronto, ON M5V 2W6, Canada",EisyNTUgRnJvbnQgU3QgVywgVG9yb250bywgT04gTTVWIDJXNiwgQ2FuYWRhIhsSGQoUChIJR6C5sNY0K4gR0bFJy58UftMQ_wE,"255 Front Street West,Toronto,ON,Canada,M5H3A9",43.64387,-79.38680509999999,1,M5V 2W6,OK,street_address
45,ROOFTOP,"255 Rue Peel, Montréal, QC H3C 3R9, Canada",ChIJZ45BbmAayUwRV34HgiR70cg,"255 rue peel,Montreal,QC,Canada,H3C3R9",45.4941891,-73.5594299,1,H3C 3R9,OK,street_address
